Professor,Average Rating,Number of Courses
"BerceliBoyle, Tina",4.2,1
"Yousefi, Ali",2.9749999999999996,3
"Al-Kateb, Mohammed",4.2,1
"Reichman, Daniel",3.6007812500000003,8
"Johnson, Joseph",3.8,1
"Mayer, Jeffrey",2.8,6
"Gholipour-Baboli, Ali",3.3,1
"Zhang, Ziming",4.074999999999999,3
"Toro, Jorge",4.8,1
"Wilson, Elizabeth",4.800000000000001,2
"Kelleher, Curran",4.8,1
"Dingari, Narahara Chari",3.775,4
"Bah, Souleymane",3.7,1
"Ganji, Fatemeh",4.2,1
"Amissah, Matthew",3.8499999999999996,4
"Stander, Jennifer",3.8499999999999996,3
"Schaumont, Patrick",4.55,2
"Floru, Fred",3.1,1
"Uzunovic, Edvina",3.925,3
"Stanley, Richard",3.5,1
"Pajic, Slobodan",4.51875,5
"Dykes, Katherine",3.7,1
"Mirheydar, Mahmood",5.0,1
"Devarakonda, Lalitha",5.0,1
"Sorensen, Dean",4.6,1
"Enayati, Babak",4.8,1
"Navabi, Zainalabedin",4.7625,4
"Vedogbeton, Hermine",4.35,2
"Crowe, Patrick",4.000030517578125,68
"Moncrief, Kathryn",4.8000000000931315,58
"Elgert, Laureen",4.4375,5
"Machado, Mario",4.4,1
"Gnanaskandan, Aswin",4.35,2
"Urban, James",4.35,2
"Ching, Kenny",4.275,3
"Forte, William",3.9,1
"VanderPal, Geoffrey",2.1,1
"Hurley, Morgan",4.0,1
"Rosenbaum, Eric",4.0,1
"Gales, John",4.6,3
"McNally, Catherine",4.4,1
"Brown, Crystal",3.9124999999999996,6
"Steiner, Benjamin",4.300000000000001,54
"Colvin, Kelly",4.866666666666667,111
"Riddick, Sarah",4.1625,57
"Hoel, Julia",4.8,26
"Davis, Jason",4.000000000162982,122
"Kamara, Jermoh",2.3466666666666667,180
"Stanlick, Sarah",4.666666666666666,152
"Strauss, Sarah",3.199999999813736,76
"Carlson, Jennifer",4.4,45
"Davis, Curt J.",4.2,90
"Dehner, Corey",5.0,45
"Mitra, Deeya",4.299999999837018,77
"Vaz, Richard",4.5,45
"Morrison, Reynolds",3.4,1
"Bedrosian, Martha",4.7,1
"Regele, Thomas",5.0,1
"Bunyea, Leo",4.65,3
"McDonald, Heidi",4.3,2
"Labenski, Caroline",4.737500000000001,4
"Bernardi, Francesca",4.2875,6
"Ramos OlivÈ, Xavier",4.5875,5
"Bouchard, Jane",3.9,2
"Ramos OlivÃ?, Xavier",4.325,4
"Walcott, Samuel",3.1999999999999997,4
"Sales, Adam",4.175,3
"Contador Revetria, Gonzalo Andres",3.01875,6
"Wang, Fangfang",4.225,4
"Gram, Richard",3.7500000000000004,3
"Chagnon, Christopher",4.65,2
"Reshadi, Farnoush",4.05,2
"Hebert-Maccaro, Karen",4.5,1
"Monat, Jamie",4.75,4
"Allen, Samuel",4.0,1
"Sinha, Neeharika",3.75,3
"Vandal, Steven",4.13125,5
"Noviello, Thomas",4.54375,6
"Sutherland, Emily",4.075,4
"Kirby, Paul",4.061328125,10
"Nemitz, Markus",4.7,1
"Hata, Nobuhiko",3.5,2
"Sinha, Anirban",3.1,1
"Zeng, Xiangrui",4.999609375,10
"Morato, Carlos",2.833338165283203,18
"Chichakly, Karim",4.85,2
"Sagna, Mahamadou",3.1,1
"Dubosarsky, Mia",4.25,5
"Yarnie, Shelly",4.175,3
"Piccirillo, Christopher",4.05,2
"Gelosh, Donald",4.65,2
"Wheeler, Robert",4.8,1
"Young, Bobbi",2.7,1
"Chillarege, Ram",5.0,4
"Wojcicki, David",4.4,4
"Swarz, Robert",3.0,6
"Shafer, Ann",3.8499999999999996,2
"Petrella, Michael",5.0,8
"Mortensen, Jennifer",4.0,1
"Yu, Fei",4.35,2
"Ramabhotla, Sundari",2.75,2
"Oyewole, Oluwaseun",3.1,3
"Smith, Jessica",4.3,1
"Alizada, Khatera",2.5,1
"McCarthy, Lauren",4.6,1
"Russell, Paul",4.0,1
"Sethi, Megan",3.9,1
"Aramento, Connie",4.0,1
"Elmes, Katherine",5.0,1
"Davis, John-Michael",4.8,31
"Andrei, Mihnea Stefan",4.25,2
"Ramos Oliv?, Xavier",4.8,1
"Thomas, Jane",4.25,2
"Mejia, Erick",4.15,4
"Shahvari, Omid",3.05,4
"Shah, Hridaya",3.4,3
"Kooken, Janice",3.0,2
